provider_id,provider_name,department,hospital_id,years_experience
1,Allison Hill,General Surgery,4,6
2,Noah Rhodes,Emergency Medicine,6,33
3,Angie Henderson,Emergency Medicine,11,5
4,Daniel Wagner,Pediatrics,1,28
5,Cristian Santos,Pediatrics,8,14
6,Connie Lawrence,Neurology,7,5
7,Abigail Shaffer,Neurology,11,33
8,Gina Moore,Internal Medicine,11,19
9,Gabrielle Davis,Neurology,9,22
10,Ryan Munoz,Orthopedics,3,5
11,Monica Herrera,Orthopedics,2,2
12,Jamie Arnold,General Surgery,1,30
13,Lisa Hensley,Radiology,3,4
14,Michele Williams,Orthopedics,5,33
15,Dylan Miller,Oncology,11,13
16,Brian Ramirez,Pediatrics,2,20
17,Holly Wood,Emergency Medicine,12,7
18,Derek Zuniga,Neurology,3,15
19,Lisa Jackson,General Surgery,4,23
20,Carla Gray,Cardiology,7,14
21,Margaret Hawkins DDS,Emergency Medicine,3,23
22,Patty Perez,Oncology,9,19
23,Ethan Adams,Neurology,8,29
24,Tommy Walter,Oncology,4,20
25,Matthew Foster,Pediatrics,1,29
26,Judy Baker,Pediatrics,1,24
27,Justin Baker,Internal Medicine,1,18
28,Stephanie Ross,General Surgery,1,10
29,Zachary Hicks,Emergency Medicine,8,8
30,Anthony Rodriguez,Obstetrics,3,26
31,Rebecca Henderson,Obstetrics,6,29
32,James Ferrell,Emergency Medicine,3,10
33,Tricia Valencia,Cardiology,11,17
34,Nathan Maldonado,General Surgery,5,2
35,Debra Davidson,Oncology,7,6
36,Jeffrey Chavez,Cardiology,2,5
37,Sherri Baker,Radiology,6,28
38,Cassandra Gaines,Emergency Medicine,6,5
39,Elizabeth Fowler,Oncology,11,18
40,Brittany Farmer,Obstetrics,3,26
41,Paula Moreno,Orthopedics,6,20
42,Fred Smith,Internal Medicine,10,27
43,Sherry Decker,Obstetrics,10,12
44,Anthony Humphrey,General Surgery,5,7
45,Angelica Tucker,Pediatrics,12,3
46,Philip Cannon,Orthopedics,2,10
47,John Pierce,Internal Medicine,9,34
48,Shane Henderson,Internal Medicine,8,25
49,Joshua Blair,Radiology,3,16
50,Eric Carney,Radiology,8,2
51,Jessica Holmes,Neurology,9,24
52,Danny Morgan,Obstetrics,3,10
53,Crystal Robinson,Obstetrics,3,22
54,Mark Perez,Obstetrics,2,26
55,Shannon Jones,Neurology,8,27
56,Michael Lewis,Cardiology,10,29
57,Timothy Duncan,Internal Medicine,1,20
58,Richard Aguirre,Orthopedics,8,27
59,Brent Jordan,General Surgery,7,20
60,John Daniel,Internal Medicine,7,19
61,Victoria Garcia,Radiology,3,20
62,Gerald Hensley,Oncology,1,2
63,Connor West,Pediatrics,4,30
64,Donald Wright,Neurology,9,34
65,Jessica Callahan,Emergency Medicine,5,22
66,Amber Kidd,Oncology,1,3
67,Tracy House,General Surgery,5,6
68,Carol Tucker,Obstetrics,8,15
69,James Brown,Radiology,8,27
70,William Baker,Radiology,5,10
71,Jordan Henderson,Radiology,12,9
72,Whitney Peters,Obstetrics,9,33
73,Brittney Phillips,Emergency Medicine,1,32
74,Lauren Daniels,Neurology,4,6
75,Amy Silva,Oncology,3,2
76,Sarah Moore,Obstetrics,2,29
77,Angela Lopez,General Surgery,8,4
78,Megan Young,Neurology,7,1
79,Steve Sanchez,General Surgery,9,19
80,Lisa Barnes,Neurology,2,26
81,Kelly Donovan,Emergency Medicine,4,25
82,Mike Allen,Pediatrics,6,10
83,Michael Evans,General Surgery,11,15
84,Paul Jones,Obstetrics,3,22
85,Zachary Ferrell,Neurology,8,21
86,Daniel Baker,Radiology,3,22
87,Shirley Suarez,Internal Medicine,12,34
88,Christopher Bass,Radiology,2,30
89,Lisa Archer,Cardiology,3,25
90,Aimee Montoya,Pediatrics,11,28
91,Matthew Mcmillan,Pediatrics,6,1
92,Brian Rodriguez,Radiology,2,4
93,Denise Jacobs,Oncology,8,7
94,Christina Walters,Emergency Medicine,1,9
95,John Whitehead,General Surgery,7,19
96,Anna Henderson,Obstetrics,2,1
97,Aaron Wise,Pediatrics,10,10
98,Deborah Figueroa,Radiology,12,9
99,Jessica Smith,Radiology,6,32
100,Stephen Mckee,Emergency Medicine,12,32
101,Sandra Aguilar,Emergency Medicine,2,6
102,Cameron Parker,Orthopedics,2,17
103,Rebecca Valencia,Orthopedics,10,10
104,Christine Wright,Oncology,8,27
105,Richard Henson,Oncology,12,21
106,Marc Moore,Cardiology,2,25
107,Sharon Cherry,Oncology,7,28
108,Sierra Johnson,Neurology,3,15
109,Evelyn Galvan,Emergency Medicine,8,4
